Config,Grid Size,Obstacle Density,Algorithm,Heuristic,Weight,Found,Path Cost,Optimal Cost,Optimal?,Subopt Gap,Nodes Expanded,Nodes Reopened,Consistency Violations,Time (s),Seed
baseline,10x10,0.09,astar_manhattan,manhattan,,Yes,18.0,18.0,True,,65,0,0,0.000194,45
baseline,10x10,0.09,astar_inconsistent,inconsistent,,Yes,18.0,18.0,True,,66,0,1,0.000196,45
baseline,10x10,0.09,astar_scaled_w1.0,scaled,1.0,Yes,18.0,18.0,True,,65,0,0,0.000171,45
baseline,10x10,0.09,astar_scaled_w1.2,scaled,1.2,Yes,18.0,18.0,True,,19,0,24,5e-05,45
baseline,10x10,0.09,astar_scaled_w1.5,scaled,1.5,Yes,18.0,18.0,True,,19,0,24,4.9e-05,45
baseline,10x10,0.09,astar_scaled_w2.0,scaled,2.0,Yes,18.0,18.0,True,,19,0,24,4.8e-05,45
baseline,10x10,0.09,astar_scaled_w3.0,scaled,3.0,Yes,18.0,18.0,True,,19,0,24,4.8e-05,45
baseline,10x10,0.09,bfs,,,Yes,18.0,18.0,True,,91,0,0,0.000149,46
baseline,10x10,0.09,astar_zero,zero,,Yes,18.0,18.0,True,,91,0,0,0.000217,46
baseline,10x10,0.09,astar_manhattan,manhattan,,Yes,18.0,18.0,True,,81,0,0,0.000217,46
baseline,10x10,0.09,astar_inconsistent,inconsistent,,Yes,18.0,18.0,True,,81,0,4,0.000239,46
baseline,10x10,0.09,astar_scaled_w1.0,scaled,1.0,Yes,18.0,18.0,True,,81,0,0,0.000209,46
baseline,10x10,0.09,astar_scaled_w1.2,scaled,1.2,Yes,18.0,18.0,True,,19,0,25,5e-05,46
baseline,10x10,0.09,astar_scaled_w1.5,scaled,1.5,Yes,18.0,18.0,True,,19,0,25,4.8e-05,46
baseline,10x10,0.09,astar_scaled_w2.0,scaled,2.0,Yes,18.0,18.0,True,,19,0,25,4.8e-05,46
baseline,10x10,0.09,astar_scaled_w3.0,scaled,3.0,Yes,18.0,18.0,True,,19,0,25,4.8e-05,46
baseline,10x10,0.19,bfs,,,Yes,18.0,18.0,True,,81,0,0,0.000114,42
baseline,10x10,0.19,astar_zero,zero,,Yes,18.0,18.0,True,,81,0,0,0.000171,42
baseline,10x10,0.19,astar_manhattan,manhattan,,Yes,18.0,18.0,True,,68,0,0,0.000167,42
baseline,10x10,0.19,astar_inconsistent,inconsistent,,Yes,18.0,18.0,True,,68,0,0,0.000182,42
baseline,10x10,0.19,astar_scaled_w1.0,scaled,1.0,Yes,18.0,18.0,True,,68,0,0,0.000164,42
baseline,10x10,0.19,astar_scaled_w1.2,scaled,1.2,Yes,18.0,18.0,True,,24,0,32,6.1e-05,42
baseline,10x10,0.19,astar_scaled_w1.5,scaled,1.5,Yes,18.0,18.0,True,,24,0,32,6e-05,42
baseline,10x10,0.19,astar_scaled_w2.0,scaled,2.0,Yes,20.0,18.0,False,2.0,21,0,27,5.2e-05,42
baseline,10x10,0.19,astar_scaled_w3.0,scaled,3.0,Yes,20.0,18.0,False,2.0,21,0,27,5.1e-05,42
baseline,10x10,0.19,bfs,,,Yes,18.0,18.0,True,,80,0,0,0.000112,43
baseline,10x10,0.19,astar_zero,zero,,Yes,18.0,18.0,True,,80,0,0,0.000175,43
