Config,Grid Size,Obstacle Density,Algorithm,Heuristic,Found,Path Cost,Optimal Cost,Optimal?,Subopt Gap,Nodes Expanded,Nodes Reopened,Consistency Violations,Time (s),Seed
baseline,10x10,0.0,astar_inconsistent,inconsistent,Yes,18.0,18.0,True,,100,0,4,0.000312,46
baseline,10x10,0.0,astar_scaled_w1.5,scaled,Yes,18.0,18.0,True,,19,0,27,5.1e-05,46
baseline,10x10,0.09,bfs,,Yes,18.0,18.0,True,,91,0,0,0.000142,42
baseline,10x10,0.09,astar_zero,zero,Yes,18.0,18.0,True,,91,0,0,0.000229,42
baseline,10x10,0.09,astar_manhattan,manhattan,Yes,18.0,18.0,True,,83,0,0,0.000229,42
baseline,10x10,0.09,astar_inconsistent,inconsistent,Yes,18.0,18.0,True,,83,0,4,0.000248,42
baseline,10x10,0.09,astar_scaled_w1.5,scaled,Yes,18.0,18.0,True,,26,0,38,7.1e-05,42
baseline,10x10,0.09,bfs,,Yes,18.0,18.0,True,,91,0,0,0.00014,43
baseline,10x10,0.09,astar_zero,zero,Yes,18.0,18.0,True,,91,0,0,0.000214,43
baseline,10x10,0.09,astar_manhattan,manhattan,Yes,18.0,18.0,True,,85,0,0,0.000229,43
baseline,10x10,0.09,astar_inconsistent,inconsistent,Yes,18.0,18.0,True,,85,0,4,0.000254,43
baseline,10x10,0.09,astar_scaled_w1.5,scaled,Yes,20.0,18.0,False,2.0,21,0,29,5.8e-05,43
baseline,10x10,0.09,bfs,,Yes,18.0,18.0,True,,90,0,0,0.000178,44
baseline,10x10,0.09,astar_zero,zero,Yes,18.0,18.0,True,,90,0,0,0.000214,44
baseline,10x10,0.09,astar_manhattan,manhattan,Yes,18.0,18.0,True,,89,0,0,0.000235,44
baseline,10x10,0.09,astar_inconsistent,inconsistent,Yes,18.0,18.0,True,,89,0,4,0.000254,44
baseline,10x10,0.09,astar_scaled_w1.5,scaled,Yes,18.0,18.0,True,,19,0,27,5e-05,44
baseline,10x10,0.09,bfs,,Yes,18.0,18.0,True,,91,0,0,0.00014,45
baseline,10x10,0.09,astar_zero,zero,Yes,18.0,18.0,True,,91,0,0,0.000212,45
baseline,10x10,0.09,astar_manhattan,manhattan,Yes,18.0,18.0,True,,65,0,0,0.000179,45
baseline,10x10,0.09,astar_inconsistent,inconsistent,Yes,18.0,18.0,True,,66,0,1,0.000199,45
baseline,10x10,0.09,astar_scaled_w1.5,scaled,Yes,18.0,18.0,True,,19,0,24,5.3e-05,45
baseline,10x10,0.09,bfs,,Yes,18.0,18.0,True,,91,0,0,0.00014,46
baseline,10x10,0.09,astar_zero,zero,Yes,18.0,18.0,True,,91,0,0,0.000213,46
baseline,10x10,0.09,astar_manhattan,manhattan,Yes,18.0,18.0,True,,81,0,0,0.000227,46
baseline,10x10,0.09,astar_inconsistent,inconsistent,Yes,18.0,18.0,True,,81,0,4,0.00024,46
baseline,10x10,0.09,astar_scaled_w1.5,scaled,Yes,18.0,18.0,True,,19,0,25,5.3e-05,46
baseline,10x10,0.19,bfs,,Yes,18.0,18.0,True,,81,0,0,0.000118,42
baseline,10x10,0.19,astar_zero,zero,Yes,18.0,18.0,True,,81,0,0,0.000177,42
baseline,10x10,0.19,astar_manhattan,manhattan,Yes,18.0,18.0,True,,68,0,0,0.000172,42
baseline,10x10,0.19,astar_inconsistent,inconsistent,Yes,18.0,18.0,True,,68,0,0,0.000217,42
baseline,10x10,0.19,astar_scaled_w1.5,scaled,Yes,18.0,18.0,True,,24,0,32,7e-05,42
baseline,10x10,0.19,bfs,,Yes,18.0,18.0,True,,80,0,0,0.000124,43
baseline,10x10,0.19,astar_zero,zero,Yes,18.0,18.0,True,,80,0,0,0.000197,43
baseline,10x10,0.19,astar_manhattan,manhattan,Yes,18.0,18.0,True,,66,0,0,0.000169,43
baseline,10x10,0.19,astar_inconsistent,inconsistent,Yes,18.0,18.0,True,,66,0,3,0.000195,43
baseline,10x10,0.19,astar_scaled_w1.5,scaled,Yes,20.0,18.0,False,2.0,24,0,34,6.8e-05,43
baseline,10x10,0.19,bfs,,Yes,18.0,18.0,True,,80,0,0,0.000118,44
baseline,10x10,0.19,astar_zero,zero,Yes,18.0,18.0,True,,80,0,0,0.000176,44
baseline,10x10,0.19,astar_manhattan,manhattan,Yes,18.0,18.0,True,,62,0,0,0.000157,44
baseline,10x10,0.19,astar_inconsistent,inconsistent,Yes,18.0,18.0,True,,62,0,4,0.000171,44
baseline,10x10,0.19,astar_scaled_w1.5,scaled,Yes,18.0,18.0,True,,19,0,25,4.7e-05,44
baseline,10x10,0.19,bfs,,Yes,18.0,18.0,True,,80,0,0,0.000119,45
baseline,10x10,0.19,astar_zero,zero,Yes,18.0,18.0,True,,80,0,0,0.000181,45
baseline,10x10,0.19,astar_manhattan,manhattan,Yes,18.0,18.0,True,,66,0,0,0.00017,45
baseline,10x10,0.19,astar_inconsistent,inconsistent,Yes,18.0,18.0,True,,66,0,4,0.000188,45
baseline,10x10,0.19,astar_scaled_w1.5,scaled,Yes,18.0,18.0,True,,19,0,27,5.1e-05,45
baseline,10x10,0.19,bfs,,Yes,18.0,18.0,True,,80,0,0,0.000117,46
baseline,10x10,0.19,astar_zero,zero,Yes,18.0,18.0,True,,80,0,0,0.000178,46
baseline,10x10,0.19,astar_manhattan,manhattan,Yes,18.0,18.0,True,,66,0,0,0.000169,46
baseline,10x10,0.19,astar_inconsistent,inconsistent,Yes,18.0,18.0,True,,66,0,4,0.000195,46
baseline,10x10,0.19,astar_scaled_w1.5,scaled,Yes,18.0,18.0,True,,19,0,27,5.7e-05,46
