Config,Grid Size,Obstacle Density,Algorithm,Found,Path Cost,Nodes Expanded,Time (s),Failure Reason
max_depth_5,10x10,0.09,astar,No,-,17,3.7e-05,depth_limit
max_expansions_50,10x10,0.09,bfs,No,-,50,8.5e-05,expansion_limit
max_expansions_50,10x10,0.09,dfs,Yes,36.0,37,6e-05,
max_expansions_50,10x10,0.09,iddfs,No,-,50,3.8e-05,expansion_limit
max_expansions_50,10x10,0.09,astar,No,-,50,0.000127,expansion_limit
time_0.001s,10x10,0.09,bfs,Yes,18.0,91,0.000153,
time_0.001s,10x10,0.09,dfs,Yes,36.0,37,6e-05,
time_0.001s,10x10,0.09,iddfs,No,-,1097,0.001004,time_budget
time_0.001s,10x10,0.09,astar,Yes,18.0,83,0.000221,
time_0.002s,10x10,0.09,bfs,Yes,18.0,91,0.000151,
time_0.002s,10x10,0.09,dfs,Yes,36.0,37,6.1e-05,
time_0.002s,10x10,0.09,iddfs,No,-,2266,0.002004,time_budget
time_0.002s,10x10,0.09,astar,Yes,18.0,83,0.000237,
time_0.005s,10x10,0.09,bfs,Yes,18.0,91,0.000151,
time_0.005s,10x10,0.09,dfs,Yes,36.0,37,6e-05,
time_0.005s,10x10,0.09,iddfs,No,-,5444,0.005005,time_budget
time_0.005s,10x10,0.09,astar,Yes,18.0,83,0.000233,
time_0.01s,10x10,0.09,bfs,Yes,18.0,91,0.00015,
time_0.01s,10x10,0.09,dfs,Yes,36.0,37,6.8e-05,
time_0.01s,10x10,0.09,iddfs,No,-,10825,0.010006,time_budget
time_0.01s,10x10,0.09,astar,Yes,18.0,83,0.000221,
time_0.1s,10x10,0.09,bfs,Yes,18.0,91,0.000161,
time_0.1s,10x10,0.09,dfs,Yes,36.0,37,6e-05,
time_0.1s,10x10,0.09,iddfs,No,-,116338,0.100009,time_budget
time_0.1s,10x10,0.09,astar,Yes,18.0,83,0.00023,
baseline,10x10,0.19,bfs,Yes,18.0,81,0.000135,
baseline,10x10,0.19,dfs,Yes,38.0,40,5.8e-05,
baseline,10x10,0.19,iddfs,Yes,18.0,264436,0.240587,
baseline,10x10,0.19,astar,Yes,18.0,68,0.000173,
max_depth_5,10x10,0.19,bfs,No,-,13,2.1e-05,depth_limit
max_depth_5,10x10,0.19,dfs,No,-,13,2.1e-05,depth_limit
max_depth_5,10x10,0.19,iddfs,No,-,85,8.6e-05,depth_limit
max_depth_5,10x10,0.19,astar,No,-,13,2.6e-05,depth_limit
max_expansions_50,10x10,0.19,bfs,No,-,50,8.3e-05,expansion_limit
max_expansions_50,10x10,0.19,dfs,Yes,38.0,40,6.2e-05,
max_expansions_50,10x10,0.19,iddfs,No,-,50,4.1e-05,expansion_limit
max_expansions_50,10x10,0.19,astar,No,-,50,0.000126,expansion_limit
time_0.001s,10x10,0.19,bfs,Yes,18.0,81,0.00013,
time_0.001s,10x10,0.19,dfs,Yes,38.0,40,6.2e-05,
time_0.001s,10x10,0.19,iddfs,No,-,1097,0.001003,time_budget
time_0.001s,10x10,0.19,astar,Yes,18.0,68,0.000181,
time_0.002s,10x10,0.19,bfs,Yes,18.0,81,0.000138,
time_0.002s,10x10,0.19,dfs,Yes,38.0,40,6.1e-05,
time_0.002s,10x10,0.19,iddfs,No,-,2203,0.002004,time_budget
time_0.002s,10x10,0.19,astar,Yes,18.0,68,0.000176,
time_0.005s,10x10,0.19,bfs,Yes,18.0,81,0.000139,
time_0.005s,10x10,0.19,dfs,Yes,38.0,40,5.9e-05,
time_0.005s,10x10,0.19,iddfs,No,-,5607,0.005005,time_budget
time_0.005s,10x10,0.19,astar,Yes,18.0,68,0.000173,
time_0.01s,10x10,0.19,bfs,Yes,18.0,81,0.000127,
time_0.01s,10x10,0.19,dfs,Yes,38.0,40,6e-05,
time_0.01s,10x10,0.19,iddfs,No,-,10737,0.010005,time_budget
time_0.01s,10x10,0.19,astar,Yes,18.0,68,0.00018,
time_0.1s,10x10,0.19,bfs,Yes,18.0,81,0.00015,
time_0.1s,10x10,0.19,dfs,Yes,38.0,40,6e-05,
time_0.1s,10x10,0.19,iddfs,No,-,107083,0.100006,time_budget
time_0.1s,10x10,0.19,astar,Yes,18.0,68,0.000178,
